nama_bapak,nama_ibu,nomor_rumah,jarak_rumah
Abyasa Adriansyah,Oliva Anita Kuswandari S.Ked,1,1
Abyasa Budiman,Puti Nuraini,2,17
Abyasa Cahya Wacana,Kezia Farah Melani,3,22
Abyasa Cahyono Rajata,Sadina Mulyani,4,33
Abyasa Harto Tamba,Chelsea Suci Permata S.T.,5,40
Abyasa Jayadi Haryanto M.TI.,Ani Juli Suryatmi M.M.,6,48
Abyasa Kamal Rajata,Vera Winarsih,7,68
Abyasa Mahendra,Wulan Eva Wijayanti,8,83
Abyasa Mahfud Saputra M.Farm,Usyi Yolanda M.Kom.,9,91
Abyasa Maryadi,Febi Purnawati,10,100
Abyasa Megantara,Rachel Nurdiyanti,11,107
Abyasa Narpati,Aisyah Usamah,12,125
Abyasa Prabawa Saefullah,Amalia Nuraini,13,131
Abyasa Prabowo,Amalia Maida Mulyani S.IP,14,151
Abyasa Prasasta,Lidya Tami Puspasari S.E.I,15,157
Abyasa Prasetya,Hamima Purwanti S.Sos,16,173
Abyasa Putu Damanik,Sari Yuniar,17,180
Abyasa Rangga Prakasa M.Ak,Zulfa Nurdiyanti,18,196
Abyasa Santoso,Kartika Yulianti,19,206
Abyasa Sihombing,Titi Ira Rahayu S.Gz,20,222
Abyasa Simanjuntak,Indah Farhunnisa Lailasari M.TI.,21,233
Abyasa Simbolon,Shania Purwanti,22,240
Abyasa Siregar,Lili Wijayanti,23,243
Abyasa Sitompul,Rahmi Rahayu M.Kom.,24,246
Abyasa Waluyo,Kania Fujiati,25,264
Abyasa Wardi Mahendra,Shania Hariyah,26,281
Abyasa Winarno S.Farm,Ina Wastuti,27,301
Abyasa Yono Uwais S.Sos,Rika Cici Mardhiyah,28,302
Ade Dabukke,Pia Suartini S.E.I,29,322
Ade Daru Mandala S.Farm,Qori Genta Hassanah,30,327
Ade Garan Samosir S.Pd,Dina Oktaviani,31,334
Ade Gunawan,Carla Palastri,32,337
Ade Haryanto,Ratna Kusmawati M.M.,33,343
Ade Hidayanto,Kartika Ghaliyati Haryanti,34,352
Ade Jailani,Elisa Padmasari,35,371
Ade Lulut Pranowo M.TI.,Vanya Rahayu S.Pt,36,378
Ade Mandala,Ade Maryati S.Sos,37,397
Ade Megantara,Bella Belinda Fujiati S.Pd,38,405
Ade Najmudin,Yuliana Eva Astuti,39,415
Ade Pradana,Ina Cornelia Wahyuni M.Kom.,40,425
Ade Prasasta,Ratna Kezia Maryati,41,440
Ade Salahudin,Shania Pertiwi,42,446
Ade Santoso,Fitriani Palastri,43,449
Ade Saputra,Qori Titin Permata S.Gz,44,456
Ade Simbolon,Elisa Haryanti S.E.,45,466
Ade Sirait S.I.Kom,Septi Safitri,46,474
Ade Sitompul S.Kom,Humaira Farida,47,493
Ade Tarihoran,Eka Kusmawati,48,511
Ade Tri Najmudin S.H.,Almira Paris Nurdiyanti,49,516
Ade Wacana,Puput Mayasari,50,517
Adhiarja Aris Setiawan,Padma Wastuti,51,531
Adhiarja Asmadi Damanik,Safina Nurdiyanti,52,544
Adhiarja Budiman,Yani Kusmawati,53,559
Adhiarja Dagel Gunarto,Mutia Pratiwi,54,569
Adhiarja Dalimin Mangunsong S.Pt,Siska Anggraini,55,575
Adhiarja Eko Salahudin S.H.,Paulin Genta Melani S.Ked,56,586
Adhiarja Jailani S.Gz,Rachel Melani,57,590
Adhiarja Luwes Mahendra,Puput Uli Farida,58,604
Adhiarja Prabowo,Sadina Palastri,59,621
Adhiarja Salahudin,Najwa Zahra Nasyiah,60,626
Adhiarja Santoso,Puput Yuliana Nasyiah S.Kom,61,637
Adhiarja Setiawan,Ani Utami,62,653
Adhiarja Sinaga,Oni Nurul Hartati,63,665
Adhiarja Tarihoran,Agnes Hasanah,64,667
Adhiarja Thamrin M.Ak,Michelle Karen Hartati S.Pt,65,683
Adhiarja Tomi Hutasoit,Lala Melani,66,694
Adhiarja Uwais,Laila Oliva Novitasari S.Kom,67,709
Adhiarja Widodo,Ghaliyati Nuraini,68,714
Adhiarja Widodo S.I.Kom,Sakura Wani Susanti S.E.,69,727
Adhiarja Winarno S.E.,Jamalia Rahimah,70,746
Adhiarja Zulkarnain,Olivia Rahimah S.Ked,71,760
Adiarja Cakrabuana Maulana M.Ak,Wulan Agustina S.Gz,72,776
Adiarja Dabukke,Uli Shania Hariyah,73,784
Adiarja Damanik,Nova Rahayu Mardhiyah S.E.,74,802
Adiarja Erik Siregar S.H.,Violet Oktaviani,75,805
Adiarja Firgantoro,Elvina Hariyah,76,822
Adiarja Gaduh Sinaga,Ophelia Puspasari S.I.Kom,77,839
Adiarja Hidayat,Kiandra Wulandari,78,855
Adiarja Irwan Kusumo,Elisa Hartati,79,863
Adiarja Iswahyudi,Titi Laksita S.Farm,80,867
Adiarja Kenzie Nugroho M.TI.,Genta Anggraini S.E.,81,879
Adiarja Pradipta,Ayu Gilda Yuniar S.Gz,82,884
Adiarja Prayitna Pradipta M.Pd,Padmi Maryati S.Pt,83,894
Adiarja Setiawan,Ida Usyi Prastuti M.Kom.,84,900
Adiarja Sihombing,Widya Siti Safitri M.Kom.,85,906
Adiarja Waluyo S.Ked,Kartika Maya Puspita,86,908
Adiarja Wibisono,Widya Namaga,87,913
Adika Akarsana Prasetyo M.M.,Winda Padmasari S.Ked,88,927
Adika Damanik,Tantri Haryanti,89,929
Adika Endra Adriansyah,Citra Michelle Widiastuti S.T.,90,939
Adika Ghani Sitorus S.Farm,Dalima Oliva Wastuti M.Farm,91,955
Adika Hardiansyah,Uli Janet Uyainah S.Farm,92,959
Adika Hutagalung,Nadia Agustina,93,965
Adika Hutapea,Citra Anita Melani S.Kom,94,976
Adika Jabal Iswahyudi,Hafshah Kamaria Padmasari M.Farm,95,989
Adika Kuncara Firgantoro,Salimah Belinda Nurdiyanti,96,994
Adika Latupono,Hani Novi Nasyidah M.M.,97,999
Adika Mansur,Raisa Sudiati S.Pt,98,1008
Adika Marbun S.Psi,Anita Dewi Rahmawati,99,1016
Adika Mulya Saputra S.T.,Rina Mandasari,100,1019
Adika Natsir,Paulin Oni Mayasari M.M.,101,1023
Adika Nrima Wibowo S.Farm,Laras Ajeng Handayani S.IP,102,1024
Adika Permadi S.Kom,Genta Puji Halimah,103,1044
Adika Pradana,Ika Kuswandari,104,1049
Adika Pranowo,Ajeng Zulfa Utami,105,1052
Adika Santoso,Kamaria Yuniar,106,1056
Adika Sitorus,Zaenab Puspita,107,1057
Adika Slamet Hutapea M.TI.,Bella Elisa Hariyah,108,1061
Adika Suryono,Eka Mayasari S.Gz,109,1078
Adika Viman Firmansyah S.Farm,Iriana Farida,110,1090
Adikara Aditya Gunawan,Faizah Puput Wulandari,111,1102
Adikara Danu Prabowo S.H.,Cici Oktaviani,112,1108
Adikara Gaduh Utama S.H.,Zaenab Puspita S.Farm,113,1123
Adikara Gamani Maheswara,Febi Sakura Astuti,114,1131
Adikara Gambira Ardianto S.E.,Umi Nurdiyanti,115,1140
Adikara Gangsar Wibisono,Paramita Susanti,116,1154
Adikara Gunarto,Oliva Nuraini,117,1173
Adikara Hidayat,Zahra Pudjiastuti S.T.,118,1178
Adikara Hutagalung,Amalia Siti Melani,119,1180
